,YEAR,MONTH,U.S._STATE,POSTAL.CODE,NERC.REGION,CLIMATE.REGION,ANOMALY.LEVEL,CLIMATE.CATEGORY,OUTAGE.START.DATE,OUTAGE.START.TIME,OUTAGE.RESTORATION.DATE,OUTAGE.RESTORATION.TIME,CAUSE.CATEGORY,OUTAGE.DURATION,RES.PRICE,COM.PRICE,IND.PRICE,TOTAL.PRICE,RES.SALES,COM.SALES,IND.SALES,TOTAL.SALES,RES.PERCEN,COM.PERCEN,IND.PERCEN,RES.CUSTOMERS,COM.CUSTOMERS,IND.CUSTOMERS,TOTAL.CUSTOMERS,RES.CUST.PCT,COM.CUST.PCT,IND.CUST.PCT,PC.REALGSP.STATE,PC.REALGSP.USA,PC.REALGSP.REL,PC.REALGSP.CHANGE,UTIL.REALGSP,TOTAL.REALGSP,UTIL.CONTRI,PI.UTIL.OFUSA,POPULATION,POPPCT_URBAN,POPPCT_UC,POPDEN_URBAN,POPDEN_UC,POPDEN_RURAL,AREAPCT_URBAN,AREAPCT_UC,PCT_LAND,PCT_WATER_TOT,PCT_WATER_INLAND,CUSTOMERS.AFFECTED
459,2012,7.0,Washington,WA,WECC,Northwest,0.1,normal,2012-07-06,15:05:00,2012-07-06,15:06:00,intentional attack,1.0,8.7,7.58,4.1,6.81,2514488.0,2403835.0,2423958.0,7342873.0,34.2439260491091,32.7369818325879,33.0110298789043,2852760,356028,27690,3236484,88.14380049461082,11.000456050454753,0.8555580685707082,53622,48156,1.11350610515824,1.5,3605,369797,0.974859179495777,0.8,6897292,84.05,9.08,2380.0,1487.9,16.7,3.57,0.62,93.2087856601868,6.79121433981318,2.40539706583635,
460,2006,12.0,Washington,WA,WECC,Northwest,0.9,warm,2006-12-14,00:01:00,2006-12-15,20:00:00,severe weather,2639.0,7.18,6.91,5.39,6.74,3675939.0,2560105.0,1498174.0,7734340.0,47.5275071951841,33.1004972628563,19.3704181610842,2704101,337999,25829,3067933,88.14081011547515,11.017157154344636,0.8419023492364403,52727,48909,1.07806334212517,1.4,3657,335912,1.08867798709186,0.7,6370753,84.05,9.08,2380.0,1487.9,16.7,3.57,0.62,93.2087856601868,6.79121433981318,2.40539706583635,175000.0
461,2012,4.0,Washington,WA,WECC,Northwest,-0.4,normal,2012-04-12,08:08:00,2012-04-12,16:30:00,intentional attack,502.0,8.46,7.68,4.08,6.94,3014431.0,2341074.0,2209204.0,7565294.0,39.8455235183193,30.9449176727302,29.2018261286343,2852760,356028,27690,3236484,88.14380049461082,11.000456050454753,0.8555580685707082,53622,48156,1.11350610515824,1.5,3605,369797,0.974859179495777,0.8,6897292,84.05,9.08,2380.0,1487.9,16.7,3.57,0.62,93.2087856601868,6.79121433981318,2.40539706583635,
462,2014,6.0,Washington,WA,WECC,Northwest,0.0,normal,2014-06-18,09:52:00,2014-06-18,19:00:00,intentional attack,548.0,8.75,7.69,3.99,6.8,2263773.0,2374741.0,2331599.0,6970472.0,32.4766099053264,34.0685824431975,33.4496573546239,2907705,359219,30308,3297238,88.18608180543836,10.894542644480017,0.9191935795960134,54662,49091,1.1134831231794,1.7,3356,386000,0.869430051813471,0.7,7063166,84.05,9.08,2380.0,1487.9,16.7,3.57,0.62,93.2087856601868,6.79121433981318,2.40539706583635,
463,2011,8.0,Washington,WA,WECC,Northwest,-0.6,cold,2011-08-18,09:51:00,2011-08-18,16:00:00,intentional attack,369.0,8.4,7.4,4.27,6.69,2439460.0,2481324.0,2444603.0,7366208.0,33.1169035682946,33.6852285463565,33.1867223950233,2837631,354185,27845,3219667,88.13430084539799,11.000671808606294,0.8648409913199098,52822,47586,1.11003236245955,-0.4,3832,360358,1.06338696518462,0.8,6823229,84.05,9.08,2380.0,1487.9,16.7,3.57,0.62,93.2087856601868,6.79121433981318,2.40539706583635,
464,2003,12.0,Washington,WA,WECC,Northwest,0.3,normal,2003-12-04,07:00:00,2003-12-08,19:00:00,severe weather,6480.0,6.41,6.21,4.17,5.89,3586000.0,2524752.0,1571316.0,7687275.0,46.6485197940753,32.8432637052792,20.4404811848152,2553169,320979,20839,2895063,88.1904469781832,11.087116238921226,0.7198116241339134,49457,45858,1.07848139910157,0.8,3496,301892,1.15803002398209,0.7,6104115,84.05,9.08,2380.0,1487.9,16.7,3.57,0.62,93.2087856601868,6.79121433981318,2.40539706583635,200000.0
465,2012,5.0,Washington,WA,WECC,Northwest,-0.3,normal,2012-05-11,11:05:00,2012-05-11,11:20:00,intentional attack,15.0,8.52,7.56,3.89,6.73,2574153.0,2313916.0,2288800.0,7177447.0,35.8644654568679,32.2387054895703,31.8887760508716,2852760,356028,27690,3236484,88.14380049461082,11.000456050454753,0.8555580685707082,53622,48156,1.11350610515824,1.5,3605,369797,0.974859179495777,0.8,6897292,84.05,9.08,2380.0,1487.9,16.7,3.57,0.62,93.2087856601868,6.79121433981318,2.40539706583635,
466,2013,7.0,Washington,WA,WECC,Northwest,-0.3,normal,2013-07-25,13:10:00,2013-07-25,13:15:00,intentional attack,5.0,8.9,7.74,4.31,7.03,2480051.0,2549974.0,2382298.0,7412771.0,33.4564631768606,34.3997406637815,32.1377525354554,2880008,360855,27808,3268677,88.10928702958414,11.0397876572081,0.850741752703005,53760,48396,1.11083560624845,0.3,3647,374911,0.972764202704108,0.8,6973281,84.05,9.08,2380.0,1487.9,16.7,3.57,0.62,93.2087856601868,6.79121433981318,2.40539706583635,
468,2011,12.0,Washington,WA,WECC,Northwest,-0.9,cold,2011-12-20,09:30:00,2011-12-20,09:31:00,intentional attack,1.0,8.38,7.67,4.21,7.07,3893262.0,2625962.0,2332196.0,8852112.0,43.9811651727859,29.6648076752757,26.3462098084615,2837631,354185,27845,3219667,88.13430084539799,11.000671808606294,0.8648409913199098,52822,47586,1.11003236245955,-0.4,3832,360358,1.06338696518462,0.8,6823229,84.05,9.08,2380.0,1487.9,16.7,3.57,0.62,93.2087856601868,6.79121433981318,2.40539706583635,
469,2012,1.0,Washington,WA,WECC,Northwest,-0.7,cold,2012-01-24,11:22:00,2012-01-24,11:22:00,intentional attack,0.0,8.37,7.66,4.05,7.06,4079777.0,2615583.0,2291942.0,8988060.0,45.3910743809009,29.1006401826423,25.4998520259099,2852760,356028,27690,3236484,88.14380049461082,11.000456050454753,0.8555580685707082,53622,48156,1.11350610515824,1.5,3605,369797,0.974859179495777,0.8,6897292,84.05,9.08,2380.0,1487.9,16.7,3.57,0.62,93.2087856601868,6.79121433981318,2.40539706583635,
